AnimeName,Rating,TypeName
Monster,872,TV
Bakuman. 3rd Season,871,TV
Death Note,871,TV
Mahou Shoujo Madokaв…Magica Movie 1: Hajimari no ,831,Movie
Gintama: Shinyaku Benizakura-hen,831,Special
Mellow,623,OVA
Backkom Specials,623,ONA
Luck &amp; Logic,623,TV
High Score Girl,0,TV
